MedicName,Dose 
Alteplase,"Thrombolytic agent, tissue plasminogen activator
*******************************************
Occluded IV catheter:
          Aspiration method: Use 1 mg/1 mL concentration as follows:
                Central venous line (dosage per lumen, treating one lumen at a time):
                       <30 kg: Instill a volume equal to 110% of internal lumen volume of the catheter NOT exceeding 2 mg.
                       ≥30 kg: 2 mg each lumen.
               Subcutaneous port: Instill a volume equal to 110% of internal lumen and line volume of the port NOT exceeding 2 mg.

Instill into catheter over 1–2 min and leave in place for 2 hr before attempting blood withdrawal.

After 2 hr, attempts to withdraw blood may be made every 2 hr for 3 attempts. 
Dose may be repeated once in 24 hr using a longer catheter dwell time of 3–4 hr. After 3–4 hr (repeat dose), attempts to withdrawal blood may be made every 2 hr for 3 attempts. DO NOT infuse into patient.

Systemic thrombolytic therapy (limited data, use in consultation with a hematologist; see remarks):
  Low-dose
        initial infusion:
                  <90 days old: 0.06 mg/kg/hr; max. dose: 2 mg/hr
                   ≥90 days old–21 yr: 0.03 mg/kg/hr; max. dose: 2 mg/hr
  High-dose
        initial infusion: 0.1–0.5 mg/kg/hr; max. dose: 25 mg/hr

Dosage regimens ranging from lower dosages (0.01 mg/kg/hr) to higher dosages (0.1–0.6 mg/kg/hr) have been reported. The length of continuous infusion is variable as patients may respond to longer or shorter courses of therapy.


Current use in the pediatric population is limited. May cause bleeding, rash, angioedema, and increase prothrombin time. Rare fatal hypersensitivity reaction has been reported.

THROMBOLYTIC USE: History of stroke, transient ischemic attacks, other neurologic disease, and hypertension are contraindications for adults but considered relative contraindications for children. 
Monitor fibrinogen, thrombin clotting time, PT and aPTT when used as a thrombolytic. 
For systemic thrombosis therapy, efficacy has been reported at 40%–97%, with the risk for bleeding at 3%–27%. 
Poor efficacy in VTE in children has been recently reported. 
Use with caution in severe hepatic or renal dysfunction (systemic use only).
Newborns have reduced plasminogen levels (~50% of adult values), which decrease the thrombolytic effects of alteplase. 
Plasminogen supplementation may be necessary"
Aluminium Hydroxide,"Antacid, phosphate binder
***********************
Antacid (see remarks):
           Child: 320–960 mg PO 1–3 hr PC and QHS
           Adult: 640 mg PO 1–3 hr PC and HS; max. dose: 3840 mg/24 hr

Hyperphosphatemia (administer all doses with meals and titrate to normal serum phosphorus):
           Child: 50–150 mg/kg/24 hr ÷ Q4–6 hr PO
           Adult: 300–600 mg TID-QID
           PO between meals and QHS 
           Max. dose (all ages): 3000 mg/24 hr

Chronic antacid use is not recommended for children with GERD. Use with caution in patients with renal failure and upper GI hemorrhage.
Interferes with the absorption of several orally administered medications, including digoxin, ethambutol, indomethacin, isoniazid, naproxen, mycophenolate, tetracyclines, fluoroquinolones (e.g., ciprofloxacin), and iron. 
In general, do not take oral medications within 1–2 hr of taking aluminum dose unless specified.

May cause constipation, decreased bowel motility, encephalopathy, and phosphorus depletion"
Aluminum Hydroxide With Magnesium Hydroxide,"Antacid
*******
Antacid (mL volume dosages are based on the 200 mg AlOH, 200 mg MgOH, and 20 mg simethicone per 5 mL oral suspension concentration):
             Child ≤12 yr: 0.5–1 mL/kg/dose (max. dose: 20 mL/dose) PO 1–3 hr PC and HS
              >12 yr and adult: 10–20 mL PO 1–3 hr PC and HS; max. dose: 80 mL/24 hr

Chronic antacid use is not recommended for children with GERD. May have laxative effect.
May cause hypokalemia. Use with caution in patients with renal insufficiency (magnesium), gastric outlet obstruction. Do not use for hyperphosphatemia.
Interferes with the absorption of the benzodiazepines, chloroquine, digoxin, naproxen, mycophenolate, phenytoin, quinolones (e.g., ciprofloxacin), tetracyclines, and iron. In general, do not take oral medications within 1–2 hr of taking antacid dose unless specified.
DO NOT use Maalox Total Relief (bismuth subsalicylate), Mylanta New Tonight Soothing Liquid (calcium carbonate + magnesium hydroxide + simethicone), Maalox Regular Strength Chewable Tablets and Children’s Mylanta Chewable Tablets (calcium carbonate), Maalox Maximum Strength
Chewable (calcium carbonate and simethicone), and Mylanta Gas (simethicone) as these products do not contain aluminum hydroxide and magnesium hydroxide."
Amantadine Hydrochloride ,"Antiviral agent
*************
Influenza A prophylaxis and treatment (for treatment, it is best to initiate therapy immediately after the onset of symptoms; within 2 days; see remarks):
           1–9 yr: 5 mg/kg/24 hr PO ÷ BID; max. dose: 150 mg/24 hr
           ≥10 yr:
                         <40 kg: 5 mg/kg/24 hr PO ÷ BID; max. dose 200 mg/24 hr
                         ≥40 kg: 200 mg/24 hr PO ÷ BID


Duration of therapy:
            Prophylaxis:
                       Single exposure: at least 10 days
                       Repeated/uncontrolled exposure: up to 90 days
                       Use with influenza A vaccine when possible.

Symptomatic treatment:
      Continue for 24–48 hr after disappearance of symptoms.

The CDC has reported resistance to influenza A and does not recommend its use for treatment and prophylaxis.  
Check with local microbiology laboratories and the CDC for seasonal susceptibility/resistance. 
Individuals immunized with live attenuated influenza vaccine should not receive amantadine prophylaxis for 14 days after the vaccine.
Do not use in the first trimester of pregnancy. Use with caution in patients with liver disease, seizures, renal disease, congestive heart failure, peripheral edema, orthostatic hypotension, history of recurrent eczematoid rash, and in those receiving CNS stimulants. Adjust dose in patients with renal insufficiency

Extended-release capsule and tablet dosage forms are indicated for the treatment of dyskinesia in patients with Parkinson disease receiving levodopa-based therapy.
May cause dizziness, anxiety, depression, mental status change, rash (livedo reticularis), nausea, orthostatic hypotension, edema, CHF, and urinary retention. Impulse control disorder has been reported. Neuroleptic malignant syndrome has been reported with abrupt dose reduction or discontinuation (especially if patient is receiving neuroleptics)."
Amikacin Sulfate,"Antibiotic, aminoglycoside
************************
Initial empirical dosage; patient specific dosage defined by therapeutic drug monitoring (see remarks).
Neonates: See the following table.
-------------------------------------------------------------------------------------------------------------
Postconceptional Age (wk)         Postnatal Age (days)        Dose (mg/kg/dose)    Interval (hr)
≤29*                                                           0–7                                      18                                  48
                                                                    8–28                                     15                                  36
                                                                    >28                                       15                                  24
30–34                                                        0–7                                        18                                   36
                                                                    >7                                         15                                   24
≥35                                                           ALL                                        15                                   24†
-----------------------------------------------------------------------------------------------------------
*Or significant asphyxia, PDA, indomethacin use, poor cardiac output, reduced renal function.
†Use Q36 hr interval for HIE patients receiving whole-body therapeutic cooling.

Infant and child: 15–22.5 mg/kg/24 hr ÷ Q8 hr IV/IM; 
infants and patients requiring higher doses (e.g.,cystic fibrosis) may receive initial doses of 30 mg/kg/24 hr ÷ Q8 hr IV/IM

Cystic fibrosis (if available, use patient’s previous therapeutic mg/kg dosage):
         Conventional Q8 hr dosing: 30 mg/kg/24 hr ÷ Q8 hr IV
         High-dose  extended interval (once daily) dosing (limited data): 30–35 mg/kg/24 hr Q24 hr IV

Nontuberculous mycobacterium (part of a multiple drug regimen):
              Infant and child: 15–30 mg/kg/dose Q24 hr IV; max. dose: 1500 mg/24 hr
             Adolescent: 10–15 mg/kg/dose Q24 hr IV; max. dose: 1500 mg/24 hr
          Adult: 15 mg/kg/24 hr ÷ Q8–12 hr IV/IM
          Initial max. dose: 1.5 g/24 hr, then monitor levels

Use with caution in preexisting renal, vestibular, or auditory impairment; concomitant anesthesia or neuromuscular blockers, neurotoxic; concomitant neurotoxic, ototoxic, or nephrotoxic drugs; sulfite sensitivity; and dehydration. 
Adjust dose in renal failure. 
Longer dosing intervals may be necessary for neonates receiving indomethacin for PDAs and for all patients with poor cardiac output. 
Rapidly eliminated in patients with cystic fibrosis, burns, and in febrile neutropenic patients. CNS penetration is poor beyond early infancy.

Therapeutic levels (using conventional dosing): peak, 20–30 mg/L; trough, 5–10 mg/L. 
Recommended serum sampling time at steady state: trough within 30 min before the third consecutive dose and peak 30–60 minutes after the administration of the third consecutive dose. 
Peak levels of 25–30 mg/L have been recommended for CNS, pulmonary, bone, life-threatening, and Pseudomonas infections and in febrile neutropenic patients.
Therapeutic levels for cystic fibrosis using high-dose extended-interval (once daily) dosing: peak, 80–120 mg/L; trough, <10 mg/L. 
Recommended serum sampling time: trough within 30 minutes before the dose and peak 30–60 minutes after administration of dose.
For initial dosing in obese patients, use an adjusted body weight (ABW). ABW = Ideal Body Weight + 0.4 (Total Body Weight − Ideal Body Weight).
May cause ototoxicity, nephrotoxicity, neuromuscular blockade, and rash. Loop diuretics may potentiate the ototoxicity of all aminoglycoside antibiotics.


"
Aminocaproic Acid,"Hemostatic agent
***************
         Child (IV/PO):
                   Loading dose: 100–200 mg/kg
                   Maintenance: 100 mg/kg/dose Q4–6 hr; max. dose: 30 g/24 hr
          Adult (IV/PO): 4–5 g during the first hour, followed by 1 g/hr × 8 hr or until bleeding is controlled. Max. dose: 30 g/24 hr.


Contraindications: DIC, hematuria. Use with caution in patients with cardiac or renal disease.
Should not be given with factor IX complex concentrates or antiinhibitor coagulant concentrates because of risk for thrombosis. Dose should be reduced by 75% in oliguria or end stage renal disease.
Hypercoagulation may be produced when given in conjunction with oral contraceptives.
May cause nausea, diarrhea, malaise, weakness, headache, decreased platelet function, hypotension,and false increase in urine amino acids. Elevation of serum potassium may occur, especially in patients with renal impairment. Prolonged use may increase risk for skeletal muscle weakness and rhabdomyolysis."
Aminophylline,"Bronchodilator, methylxanthine
****************************
Neonatal apnea:
             Loading dose: 5–6 mg/kg IV
             Maintenance dose: 1–2 mg/kg/dose Q6–8 hr, IV
Asthma exacerbation and reactive airway disease:
               IV loading: 6 mg/kg IV over 20 min (each 1.2 mg/kg dose raises the serum theophylline concentration 2 mg/L)
               IV maintenance: Continuous IV drip:
                      Neonate: 0.2 mg/kg/hr
                      6 wk–6 mo: 0.5 mg/kg/hr
                      6 mo–1 yr: 0.6–0.7 mg/kg/hr
                       1–9 yr: 1–1.2 mg/kg/hr
                       9–12 yr and young adult smoker: 0.9 mg/kg/hr
                       >12 yr healthy nonsmoker: 0.7 mg/kg/hr
The above total daily doses may also be administered IV ÷ Q4–6 hr.

Consider milligrams of theophylline available when dosing aminophylline. For oral route of administration, use theophylline.
Monitoring serum levels is essential, especially in infants and young children. Intermittent dosing for infants and children 1–5 yr may require Q4 hr dosing regimen due to enhanced metabolism/clearance. Side effects: restlessness, GI upset, headache, tachycardia, seizures (may occur in absence of other side effects with toxic levels).
Therapeutic level (as theophylline): for asthma, 10–20 mg/L; for neonatal apnea, 6–13 mg/L.

Recommended guidelines for obtaining levels:
              IV bolus: 30 min after infusion
              IV continuous; 12–24 hr after initiation of infusion 
              PO liquid, immediate-release tab (theophylline product):
                     Peak: 1 hr post dose
                     Trough: just before dose
             PO sustained-release (theophylline product):
                   Peak: 4 hr post dose
                   Trough: just before dose

Ideally, obtain levels after steady state has been achieved (after at least one day of therapy). Liver impairment, cardiac failure, and sustained high fever may increase theophylline levels. 
Use in breast feeding may cause irritability in infant. 
It is recommended to avoid breast feeding for 2 hr after IV or 4 hr after immediate-release oral intermittent dose."
Amiodarone,"Antiarrhythmic, Class III
*********************
Child PO for tachyarrhythmia:
               <1 yr: 600–800 mg/1.73 m2/24 hr ÷ Q12–24 hr × 4–14 days and/or until adequate control achieved, then reduce to 200–400 mg/1.73 m2/24 hr.
               ≥1 yr: 10–15 mg/kg/24 hr ÷ Q12–24 hr × 4–14 days and/or until adequate control achieved, then reduce to 5 mg/kg/24 hr ÷ Q12–24 hr if effective.

Child IV for tachyarrhythmia (limited data):
              5 mg/kg (max. dose: 300 mg) over 30 min followed by a continuous infusion starting at 5 micrograms (mCg)/kg/min; infusion may be increased up to a max. dose of 15 mCg/kg/min or 20 mg/kg/24 hr or 2200 mg/24 hr.

Adult PO for ventricular arrhythmias:
          Loading dose: 800–1600 mg/24 hr ÷ Q12–24 hr for 1–3 wk
          Maintenance: 600–800 mg/24 hr ÷ Q12–24 hr × 1 mo, then 200 mg Q12–24 hr
Use lowest effective dose to minimize adverse reactions.

Adult IV for ventricular arrhythmias:
         Loading dose: 150 mg over 10 min (15 mg/min) followed by 360 mg over 6 hr (1 mg/min); followed by a maintenance dose of 0.5 mg/min. 
         Supplemental boluses of 150 mg over 10 min may be given for breakthrough VF or hemodynamically unstable VT, and the maintenance infusion may be increased to suppress the arrhythmia. Max. dose: 2.1 g/24 hr.

Used in the resuscitation algorithm for ventricular fibrillation/pulseless ventricular tachycardia (see front cover for arrest dosing and back cover for PALS algorithm).
Overall use of this drug may be limited to its potentially life-threatening side effects and the difficulties associated with managing its use.

Contraindicated in severe sinus node dysfunction, marked sinus bradycardia, second- and third degree AV block. Use with caution in hepatic impairment. 
Long elimination half-life (40–55 days). Major metabolite is active. Use of premixed injection (Nexterone) is not recommended in renal insufficiency due to accumulation of cyclodextrin excipient.

Increases cyclosporine, digoxin, phenytoin, tacrolimus, warfarin, calcium channel blockers, theophyl-line, and quinidine levels. Amiodarone is a CYP P450 3A3/4 substrate and inhibits CYP 3A3/4, 2C9,and 2D6. Risk of rhabdomyolysis is increased when used with simvastatin at doses greater than 20 mg/24 hr and lovastatin at doses greater than 40 mg/24 hr. Serious symptomatic bradycardia has been reported when used with sofosbuvir.

Proposed therapeutic level with chronic oral use: 1–2.5 mg/L.

Asymptomatic corneal microdeposits should appear in all patients. Alters liver enzymes, thyroid function. Pulmonary fibrosis reported in adults. May cause worsening of preexisting arrhythmias with
bradycardia and AV block. May also cause hypotension, anorexia, nausea, vomiting, dizziness, paresthesias, ataxia, tremor, SIADH, and hypothyroidism or hyperthyroidism. Drug rash with eosinophiliae systemic symptoms and acute respiratory distress has been reported
Correct hypokalemia, hypocalcemia or hypomagnesemia whenever possible before use as these conditions may exaggerate QTc prolongation.
Intravenous continuous infusion concentration for peripheral administration should not exceed 2 mg/mL and must be diluted with D5W. The intravenous dosage form can leach out plasticizers such as DEHP. 
It is recommended to reduce the potential exposure to plasticizers in pregnant women and children at the toddler stages of development and younger by using alternative methods of IV drug administration.
Oral administration should be consistent with regards to meals because food increases the rate and extent of oral absorption."
Amitriptyline,"Antidepressant, tricyclic (TCA)
***************************
Antidepressant:
                 Child: Start with 1 mg/kg/24 hr ÷ TID PO for 3 days; then increase to 1.5 mg/kg/24 hr.
                                   Dose may be gradually increased to a max. dose of 5 mg/kg/24 hr, if needed. Monitor ECG, BP, and heart rate for doses > 3 mg/kg/24 hr.
                 Adolescent: 10 mg TID PO and 20 mg QHS; dose may be gradually increased up to a max. dose of 200 mg/24 hr if needed.
                 Adult: 40–100 mg/24 hr ÷ QHS-BID PO; dose may be gradually increased up to 300 mg/24 hr, if needed; gradually decrease dose to lowest effective dose when symptoms are controlled.

Augment analgesia for chronic pain:
                  Child: Initial: 0.1 mg/kg/dose QHS PO; increase as needed and tolerated over 2–3 wk to 0.5–2 mg/kg/dose QHS.

Migrane prophylaxis (limited data):
                   Child: Initial 0.1–0.25 mg/kg/dose QHS PO; increase as needed and tolerated every 2 wk by 0.1–0.25 mg/kg/dose up to a max. dose of 2 mg/kg/24 hr or 75 mg/24 hr. For doses > 1 mg/ kg/24 hr, divide daily dose BID and monitor ECG.
                   Adult: Initial 10–25 mg/dose QHS PO; reported range of 10–400 mg/24 hr.

Contraindicated in narrow-angle glaucoma, seizures, severe cardiac disorders, and patients who received MAO inhibitors within 14 days. See Chapter 2 for management of TCA toxic ingestion.
T1/2 = 9–25 hr in adults. Maximum antidepressant effects may not occur for 2 wk or more after initiation of therapy. Do not abruptly discontinue therapy in patients receiving high doses for prolonged periods.
Therapeutic levels (sum of amitriptyline and nortriptyline): 100–250 ng/mL. Recommended serum sampling time: obtain a single level 8 hr or more after an oral dose (following 4–5 days of continuous dosing). Amitriptyline is a substrate for CYP 450 1A2, 2C9, 2C19, 2D6, and 3A3/4 and inhibitor for CYP 450 1A2, 2C19, 2C9, 2D6, and 2E1. Rifampin can decrease amitriptyline levels.
Amitriptyline may increase side effects of tramadol.

Side effects include sedation, urinary retention, constipation, dry mouth, dizziness, drowsiness, liver enzyme elevation, and arrhythmia. May discolor urine (blue/green). QHS dosing during first weeks of therapy will reduce sedation. Monitor ECG, BP, and CBC at start of therapy and with dose changes.

Decrease dose if PR interval reaches 0.22 s, QRS reaches 130% of baseline, HR rises above 140/min, or if BP is > 140/90. Tricyclics may cause mania. For antidepressant use, monitor for clinical worsening of depression and suicidal ideation/behavior following the initiation of therapy or after dose changes."
Amlodipine,"Calcium channel blocker, antihypertensive
**************************************
Child:
            Hypertension: Start with 0.1 mg/kg/dose (max. dose: 5 mg) PO once daily–BID; dosage may be gradually increased to a max. dose of 0.6 mg/kg/24 hr up to 20 mg/24 hr. 
            An effective antihypertensive dose of 2.5–5 mg once daily for those aged 6–17 yr has been reported,and doses > 5 mg have not been evaluated.
Adult:
             Hypertension: 5–10 mg/dose once daily PO; use 2.5 mg/dose once daily PO in patients with hepatic insufficiency. Max. dose: 10 mg/24 hr.

Use with caution in combination with other antihypertensive agents. Younger children (<6 yr) may require higher mg/kg doses than older children and adults. A BID dosing regimen may provide better efficacy in children.
Reduce dose in hepatic insufficiency. Allow 5–7 days of continuous initial dose therapy before making dosage adjustments because of the drug’s gradual onset of action and lengthy elimination half-life.
Amlodipine is a substrate of CYP 450 3A4 and should be used with caution with 3A4 inhibitors, such as protease inhibitors and azole antifungals (eg. fluconazole and ketoconazole). 
May increase levels and toxicity of cyclosporine, tacrolimus, and simvastatin.
Dose-related side effects include edema, dizziness, flushing, fatigue, and palpitations. 
Other side effects include headache, nausea, abdominal pain, and somnolence."
Ammonium Chloride,"Diuretic, urinary acidifying agent
*****************************
Urinary acidification:
           Child: 75 mg/kg/24 hr ÷ Q6 hr IV; max. dose: 6 g/24 hr
           Adult: 1.5 g/dose Q6 hr IV

Drug administration: Dilute to concentration ≤ 0.4 mEq/mL. Infusion not to exceed 50 mg/kg/hr or 1 mEq/kg/hr.
Contraindicated in hepatic or renal insufficiency and primary respiratory acidosis. 
Use with caution in infants.
May produce acidosis, hyperammonemia, and GI irritation. Monitor serum chloride level, acid/base status, and serum ammonia."
Amoxicillin,"Antibiotic, aminopenicillin
************************
Neonate–≤ 3 mo: 20–30 mg/kg/24 hr ÷ Q12 hr PO
Child: 
         Standard dose: 25–50 mg/kg/24 hr ÷ Q8–12 hr PO
         High dose (resistant Streptococcus pneumoniae; see remarks): 80–90 mg/kg/24 hr ÷ Q8–12 hr
         PO
               Max. dose: 2–3 g/24 hr; some experts recommend a maximum dosage up to 4 g/24 hr

Adult:
         Mild/moderate infections: 250 mg/dose Q8 hr PO OR 500 mg/dose Q12 hr PO
         Severe infections: 500 mg/dose Q8 hr PO OR 875 mg/dose Q12 hr PO
               Max. dose: 2–3 g/24 hr

Tonsillitis/pharyngitis (S. pyogenes): 50 mg/kg/24 hr ÷ Q12 hr PO × 10 days; max. dose: 1 g/24 hr.
        Extended-release tablets (Moxatag): 775 mg once daily PO × 10 days is indicated for children ≥  12 yr and adults.

SBE prophylaxis: administer dose 1 hour before procedure
            Child: 50 mg/kg PO × 1; max. 2 g/dose
            Adult: 2 g PO × 1

Early lyme disease:
           Child: 50 mg/kg/24 hr ÷ Q8 hr PO × 14–21 days; max. dose: 1.5 g/24 hr
           Adult: 500 mg/dose Q8 hr PO × 14–21 days

Renal elimination. Adjust dose in renal failure (see Chapter 30). Serum levels about twice those achieved with equal dose of ampicillin. Fewer GI effects, but otherwise similar to ampicillin. Side effects: rash and diarrhea. Rash may develop with concurrent EBV infection. May increase warfarin’s effect by increasing INR.
High-dose regimen, increasingly useful, is recommended in respiratory infections (e.g., CAP), acute otitis media, and sinusitis, owing to increasing incidence of penicillin-resistant pneumococci.
Chewable tablets may contain phenylalanine and should not be used by phenylketonurics."
Amoxicillin-Clavulanic Acid,"Antibiotic, aminopenicillin with β-lactmase inhibitor
**********************************************

Dosage based on amoxicillin component (see remarks for resistant S. pneumoniae).
           Infant 1–<3 mo: 30 mg/kg/24 hr ÷ Q12 hr PO (recommended dosage form is 125 mg/5 mL suspension)
           Child ≥ 3 mo (for non–high-dose amoxicillin regimens, use adult dosage if ≥ 40 kg):

TID dosing (see remarks):
                    20–40 mg/kg/24 hr ÷ Q8 hr PO
BID dosing (see remarks):
              25–45 mg/kg/24 hr ÷ Q12 hr PO
Augmentin ES-600:
                 ≥3 mo and <40 kg: 90 mg/kg/24 hr ÷ Q12 hr PO × 10 days
               Adult: 250–500 mg/dose Q8 hr PO or 875 mg/dose Q12 hr PO for more severe and respiratory infections

Augmentin XR:
     ≥16 yr and adult: 2 g Q12 hr PO × 10 days for acute bacterial sinusitis or × 7–10 days for community-acquired pneumonia

Maximum Clavulanic acid dose (5-15 mg/kg/day) so not to the (Amoxicillin- Clavulanic acid 400/57) for neonates especially if high Amoxicillin  doses are needed.(Amoxicillin-Clavulanic acid 125/31.25)  or (Amoxicillin-Clavulanic acid ES -600  600/42.9) for high amoxicillin and safe clavulinic acid doses 

Adjust dose in renal failure .
Contraindicated in patients with a history of cholestatic jaundice/hepatic dysfunction associated with amoxicillin-clavulanic acid. Augmentin XR is contraindicated in patients with CrCl < 30 mL/min.
Clavulanic acid extends the activity of amoxicillin to include β-lactamase–producing strains of Haemophilus influenzae, Moraxella catarrhalis, Neisseria gonorrhoeae, and some Staphylococcus aureus and may increase the risk for diarrhea.
The BID dosing schedule is associated with less diarrhea. 
For BID dosing, the 875-mg, 1-g tablets;the 200-mg, 400-mg chewable tablets; or the 200-mg/5 mL, 400-mg/5 mL, 600-mg/5 mL suspensions should be used. 
These BID dosage forms contain phenylalanine and should not be used by phenylketonurics. 
For TID dosing, the 250-mg, 500-mg tablets; the 125-mg, 250-mg chewable tablets; or the 125-mg/5 mL, 250-mg/5 mL suspensions should be used.
Higher doses of 80–90 mg/kg/24 hr (amoxicillin component) have been recommended for resistant strains of S. pneumoniae in acute otitis media and pneumonia (use BID formulations containing 7 : 1 ratio of amoxicillin to clavulanic acid or Augmentin ES-600).
The 250 or 500 mg tablets cannot be substituted for Augmentin XR."
Amphetamine,"CNS stimulant
*************
Attention deficit hyperactivity disorder:
           Immediate-release tabs (Evekeo; PO):
                         3–5 yr: 2.5 mg/24 hr QAM; increase by 2.5 mg/24 hr at weekly intervals until desired response.
                               Incremental dosages may be administered BID–TID, with the first dose at awakening and subsequent doses spaced at 4–6 hr intervals. Doses rarely exceed 40 mg/24 hr.
                         ≥6 yr and adolescent: 5 mg once daily or BID; increase by 5 mg/24 hr at weekly intervals until desired response. 
                               Incremental dosages may be administered BID–TID, with the first dose at awakening and subsequent doses spaced at 4–6 hr intervals. Doses rarely exceed 40 mg/24 hr.

Extended-release suspension (Dyanavel XR; PO):
                  ≥6 yr and adolescent: 2.5 or 5 mg/24 hr QAM; increase by 2.5–10 mg/24 hr every 4–7 days until desired response up to a maximum of 20 mg/24 hr.

Extended-release dispersible tabs ( Adzenys XR-ODT; PO):
              6–17 yr: 6.3 mg/24 hr QAM; increase by 3.1 or 6.3 mg/24 hr at weekly intervals until desiredresponse. Maximum dose: 6–12 yr: 18.8 mg/24 hr; 13–17 yr: 12.5 mg/24 hr.
             Adult: 12.5 mg/24 hr QAM

Narcolepsy:
          Immediate-release tabs (Evekeo; PO):
                      6–12 yr: 5 mg QAM; increase by 5 mg/24 hr at weekly intervals until desired response.
                                 Incremental doses may be administered with the first dose at awakening and subsequent doses (5 or 10 mg) spaced at 4–6 hr intervals. Usual daily dosage range: 5–60 mg/24 hr in divided doses.
                      ≥13 yr and adult: 10 mg QAM; increase by 10 mg/24 hr at weekly intervals until desired response. 
                               Incremental doses may be administered with the first dose at awakening and subsequent doses (5 or 10 mg) spaced at 4–6 hr intervals. Usual daily dosage range: 5–60 mg/24 hr in divided doses.


Use with caution in presence of hypertension or cardiovascular disease. Avoid use in known serious structural cardiac abnormalities, cardiomyopathy, serious heart rhythm abnormalities, coronary artery disease, or other serious cardiac problems that may increase
risk of sympathomimetic effects of amphetamines (sudden death, stroke, and MI have been reported). Do not use with MAO inhibitors; hypertensive crisis may occur if used within 14 days of discontinuing MAO inhibitor.

Not recommended for patients aged <3 yr. Medication should generally not be used in children aged <5 yr because diagnosis of ADHD in this age group is extremely difficult (use in consultation with a specialist). Interrupt administration occasionally to determine need for continued therapy.

Common side effects include headache, insomnia, anorexia, abdominal pain, anxiety, mood swings, and agitation. Psychotic disorder, peripheral vascular disease (including Raynaud’s phenomenon), and cerebrovascular accidents have been reported.
Evekeo has an additional labeled indication for the treatment of exogenous obesity in those aged ≥12 yr and adults. Doses may be administered with or without food. 
Do not crush or chew the extended-release dispersible tabs (Adzenys XR-ODT)."
